IdOportunidad,IdEmpresa,IdPropietario,TipoDivisaAjuste,Zona,Importe,FechaCierre,Participantes,ImporteEnMXN,ClasificacionZona,RangoImporte,RendimientoPorZona,AñoCierre,MesCierre,ImporteAcumulado,CrecimientoRelativo
0068X00001HiFwRQAV,0013f000002PHf8AAG,00541000007Mjh3AAC,USD,ZONA 1,3000,20/07/2023,25,60600,Central,Bajo,2424,2023,7,20347329.6,200.4587089
0068X00001Hit96QAB,0018X00003EwjDNQAZ,00541000002payqAAA,MXN,ZONA 3,0,20/07/2023,0,0,Periferica,Muy Bajo,0,2023,7,73395867,243.65289
0068X00001Hl0Y2QAJ,0014100001uMr3CAAS,00541000007MjguAAC,MXN,ZONA 2,2134880,20/07/2023,0,2134880,Central,Medio,2134880,2023,7,26420525,27.29658884
0068X00001IovQTQAZ,0018X00003HrI0eQAF,0053f000000EKvuAAG,MXN,ZONA 3,400000,20/07/2023,29,400000,Periferica,Bajo,13793.10345,2023,7,15375579,17.08891647
0068X00001Ip1o7QAB,0018X00003HrPT5QAN,0058X00000F1ld7QAB,MXN,ZONA 3,295500,20/07/2023,45,295500,Periferica,Bajo,6566.666667,2023,7,29065745,48.09754223
0068X00001IprgRQAR,0014100001uMqrAAAS,0058X00000F1ld7QAB,MXN,ZONA 3,33667,20/07/2023,0,33667,Periferica,Muy Bajo,33667,2023,7,29099412,48.15441216
0068X00001IprIVQAZ,0018X00002zXwYkQAK,00541000002payqAAA,MXN,ZONA 3,338600,20/07/2023,30,338600,Periferica,Bajo,11286.66667,2023,7,73734467,244.7815567
0068X00001J8rlxQAB,0014100001vaxApAAI,0053f000000lhfmAAA,MXN,ZONA 5,60000,20/07/2023,0,60000,Periferica,Bajo,60000,2023,7,34407655,97.87257184
0068X00001CdxF8QAJ,0013f0000036bBaAAI,00541000007Mjh3AAC,MXN,ZONA 1,800000,19/07/2023,0,800000,Central,Bajo,800000,2023,7,21147329.6,208.379501
0068X00001CgEykQAF,0013f00000AeG21AAF,0053f000000m1eKAAQ,MXN,ZONA 3,280000,19/07/2023,0,280000,Periferica,Bajo,280000,2023,7,29532590,28.62145436
0068X00001EuAouQAF,0014100001uMqQMAA0,0053f000000ERMNAA4,MXN,ZONA 2,430900,19/07/2023,0,430900,Central,Bajo,430900,2023,7,45388406,152.9649522
0068X00001HkGlvQAF,0013f000002Q2xIAAS,00541000007MjfrAAC,MXN,ZONA 2,296000,18/07/2023,25,296000,Central,Bajo,11840,2023,7,66332326,62.17364381
0068X00001IoqxWQAR,0014100001l5RQgAAM,00541000007Mjg5AAC,MXN,ZONA 3,4345000,18/07/2023,120,4345000,Periferica,Medio,36208.33333,2023,7,62681236,61.681236
0068X00001Ipka2QAB,0014100001bPuldAAC,0053f000000ETPiAAO,MXN,ZONA 3,470000,18/07/2023,20,470000,Periferica,Bajo,23500,2023,7,30914880,571.4977778
0068X00001IpkemQAB,0014100001bPuldAAC,0053f000000ETPiAAO,MXN,ZONA 3,470000,18/07/2023,20,470000,Periferica,Bajo,23500,2023,7,31384880,580.2014815
0068X00001Ipkr2QAB,0014100001bPuldAAC,0053f000000ETPiAAO,MXN,ZONA 3,537000,18/07/2023,20,537000,Periferica,Bajo,26850,2023,7,31921880,590.1459259
0068X00001Ipm67QAB,0013f000004XnZNAA0,0058X00000F08BhQAJ,MXN,ZONA 4,289500,18/07/2023,30,289500,Periferica,Bajo,9650,2023,7,1932270,11.0766875
0068X00001Ipm9BQAR,0012M000022vreaQAA,00541000007Mji0AAC,MXN,ZONA 4,42000,18/07/2023,11,42000,Periferica,Muy Bajo,3818.181818,2023,7,71330495,309.132587
0068X00001IpVLkQAN,0014100001uMsAxAAK,0052M000008ag3jQAA,MXN,ZONA 5,211780,18/07/2023,100,211780,Periferica,Bajo,2117.8,2023,7,35494612,133.8661469
0068X00001J8rd8QAB,0014100001uMu74AAC,00541000002payqAAA,USD,ZONA 3,105556,18/07/2023,0,2132231.2,Periferica,Medio,2132231.2,2023,7,75866698.2,251.888994
0068X00001Hjj3nQAB,0018X00003ExGQUQA3,0053f000000m1eKAAQ,MXN,ZONA 3,300000,17/07/2023,0,300000,Periferica,Bajo,300000,2023,7,29832590,28.92235707
0068X00001IpFu2QAF,0013f0000072JabAAE,0052M000008Jq5HQAS,MXN,ZONA 3,1497497,17/07/2023,0,1497497,Periferica,Medio,1497497,2023,7,19341133,6.365244859
0068X00001IpFu7QAF,0014100001vel0xAAA,0052M000008Jq5HQAS,MXN,ZONA 3,900000,17/07/2023,0,900000,Periferica,Bajo,900000,2023,7,20241133,6.707971439
0068X00001IpgoQQAR,0014100001vcN9UAAU,0052M000008g7RkQAI,MXN,ZONA 4,1168450,17/07/2023,29,1168450,Periferica,Medio,40291.37931,2023,7,32058302,8.783268078
0068X00001IpjJaQAJ,0013f0000071fevAAA,0053f000000EybuAAC,MXN,ZONA 3,114000,17/07/2023,12,114000,Periferica,Bajo,9500,2023,7,30395480,50.6052292
0068X00001IpbQmQAJ,0018X00002zWfGaQAK,00541000007N8XPAA0,MXN,ZONA 5,187000,15/07/2023,12,187000,Periferica,Bajo,15583.33333,2023,7,13359642,28.68809333
0068X00001IpeMhQAJ,0014100001bPuldAAC,0053f000000ETPiAAO,MXN,ZONA 3,152000,14/07/2023,15,152000,Periferica,Bajo,10133.33333,2023,7,32073880,592.9607407
0068X00001IpeMXQAZ,0014100001l5RN5AAM,00541000007MjgxAAC,MXN,ZONA 5,74910,14/07/2023,0,74910,Periferica,Bajo,74910,2023,7,15791359,62.165436
0068X00001IpenOQAR,0013f0000033hpsAAA,00541000007MjgxAAC,MXN,ZONA 5,106600,14/07/2023,25,106600,Periferica,Bajo,4264,2023,7,15897959,62.591836
0068X00001IpFU6QAN,0018X00002zWlDiQAK,0053f000000ERMNAA4,MXN,ZONA 2,52290,14/07/2023,0,52290,Central,Bajo,52290,2023,7,45440696,153.1423284
0068X00001IpUOkQAN,0013f0000070WKsAAM,00541000007Mjg2AAC,MXN,ZONA 2,588388,14/07/2023,75,588388,Central,Bajo,7845.173333,2023,7,23250023,92.000092
0068X00001J7ngyQAB,0018X00003EzJ2GQAV,0058X00000FQuLgQAL,MXN,ZONA 5,69498,14/07/2023,0,69498,Periferica,Bajo,69498,2023,7,28650535,414.8277939
0068X00001J82JKQAZ,0014100001uMqQ7AAK,0052M000008ag3jQAA,MXN,ZONA 5,194790,14/07/2023,0,194790,Periferica,Bajo,194790,2023,7,35689402,134.6062755
0068X00001J8rpnQAB,0014100001vaxApAAI,0053f000000lhfmAAA,MXN,ZONA 5,56000,14/07/2023,0,56000,Periferica,Bajo,56000,2023,7,34463655,98.03349138
0068X00001IolaLQAR,0014100001uMqQ7AAK,0052M000008ag3jQAA,MXN,ZONA 5,239650,13/07/2023,0,239650,Periferica,Bajo,239650,2023,7,35929052,135.5168551
0068X00001IpbypQAB,0014100001uMr3TAAS,00541000007MjfrAAC,MXN,ZONA 2,25000,13/07/2023,20,25000,Central,Muy Bajo,1250,2023,7,66357326,62.19745333
0068X00001IpeT9QAJ,0014100001uMqdrAAC,0058X00000FQuLgQAL,MXN,ZONA 5,21330,13/07/2023,30,21330,Periferica,Muy Bajo,711,2023,7,28671865,415.137373
0068X00001J8NkgQAF,0013f000009ovH0AAI,0053f000000nxsWAAQ,USD,ZONA 1,20000,13/07/2023,6,404000,Central,Bajo,67333.33333,2023,7,84772441,12.21069753
0068X00001CdntLQAR,0014100001uNFpfAAG,00541000007MjfrAAC,MXN,ZONA 2,3068000,07/12/2023,240,3068000,Central,Medio,12783.33333,2023,12,69425326,65.1193581
0068X00001IpajJQAR,0014100001uNFozAAG,0058X00000FQzgUQAT,MXN,ZONA 2,980000,07/12/2023,25,980000,Central,Bajo,39200,2023,12,25052448,110.3442133
0068X00001IpOfmQAF,0014100001uMqrAAAS,0058X00000F1ld7QAB,MXN,ZONA 3,38550,07/12/2023,0,38550,Periferica,Muy Bajo,38550,2023,12,29137962,48.21953041
0068X00001IpPKwQAN,0014100001uMr3CAAS,00541000007MjguAAC,MXN,ZONA 2,88000,07/12/2023,30,88000,Central,Bajo,2933.333333,2023,12,26508525,27.39083753
0068X00001IpRsUQAV,0014100001uMqHpAAK,0053f000000ETPiAAO,MXN,ZONA 3,885280,07/11/2023,52,885280,Periferica,Bajo,17024.61538,2023,11,32959160,609.3548148
0068X00001IpZJJQA3,0014100001uMuZXAA0,0053f000000EybuAAC,MXN,ZONA 3,399800,07/11/2023,15,399800,Periferica,Bajo,26653.33333,2023,11,30795280,51.28400679
0068X00001IpSzAQAV,0014100001uMqPsAAK,00541000007MjgVAAS,MXN,ZONA 3,256000,07/10/2023,45,256000,Periferica,Bajo,5688.888889,2023,10,44263777,78.75455315
0068X00001IpV7BQAV,0013f000004XsPxAAK,0052M000008g7RkQAI,MXN,ZONA 4,169650,07/10/2023,25,169650,Periferica,Bajo,6786,2023,10,32227952,8.835040359
